src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.20.48.101,142.251.222.195,41984,80,00:0c:29:e7:5c:b2,00:50:56:fd:a8:68,6,2026-01-28 18:57:40,32437181.47277832,21.086912269921516,0.3699458292968687,0.18497291464843435,0.18497291464843435,6,6,324,360,54.0,54.0,54.0,0.0,60.0,60.0,60.0,0.0,60,54,57.0,3.0,9.0,120,120,20,0,2948834.679343484,10239850.759506226,51.021575927734375,4490578.025981603,32437181.47277832,10240202.903747559,8147.239685058594,6487436.294555664,4627288.536286924,32436857.46192932,10240285.396575928,7437.229156494141,6487371.492385864,4627467.2614577925,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,58780,64239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,60.0,0,6,6,324,360
172.20.48.101,118.214.32.201,36736,80,00:0c:29:e7:5c:b2,00:50:56:fd:a8:68,6,2026-01-28 18:57:42,11893426.895141602,38.34050555994702,0.6726404484201232,0.3363202242100616,0.3363202242100616,4,4,216,240,54.0,54.0,54.0,0.0,60.0,60.0,60.0,0.0,60,54,57.0,3.0,9.0,80,80,20,0,1699060.985020229,10240052.700042725,58.17413330078125,3532697.931887941,11893426.895141602,10240408.897399902,6918.668746948242,3964475.631713867,4487926.921251507,11893012.523651123,10240363.836288452,6473.779678344727,3964337.5078837075,4488023.678147445,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,63985,64239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,60.0,0,4,4,216,240
172.20.48.101,18.239.150.190,58918,80,00:0c:29:e7:5c:b2,00:50:56:fd:a8:68,6,2026-01-28 18:57:43,22122811.555862427,25.765260376633865,0.45202211187076957,0.22601105593538479,0.22601105593538479,5,5,270,300,54.0,54.0,54.0,0.0,60.0,60.0,60.0,0.0,60,54,57.0,3.0,9.0,100,100,20,0,2458090.172873603,10239794.969558716,91.79115295410156,4189896.2260979833,22122811.555862427,10240188.121795654,6861.686706542969,5530702.888965607,4744425.816214141,22122376.680374146,10240092.277526855,5666.971206665039,5530594.170093536,4744596.9138010545,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,63227,64239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,60.0,0,5,5,270,300
172.20.48.101,142.251.222.195,41994,80,00:0c:29:e7:5c:b2,00:50:56:fd:a8:68,6,2026-01-28 18:57:44,33109339.475631714,20.658823487053258,0.36243549977286416,0.18121774988643208,0.18121774988643208,6,6,324,360,54.0,54.0,54.0,0.0,60.0,60.0,60.0,0.0,60,54,57.0,3.0,9.0,120,120,20,0,3009939.9523301558,10240170.001983643,99.18212890625,4478076.037968238,33109339.475631714,10240463.733673096,5418.300628662109,6621867.895126343,4494791.07102138,33108946.561813354,10240473.03199768,4299.640655517578,6621789.312362671,4495005.494665933,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,54720,64239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,60.0,0,6,6,324,360
172.20.48.101,34.107.221.82,43046,80,00:0c:29:e7:5c:b2,00:50:56:fd:a8:68,6,2026-01-28 18:57:45,22339965.34347534,25.514811291615338,0.4476282682739533,0.22381413413697665,0.22381413413697665,5,5,270,300,54.0,54.0,54.0,0.0,60.0,60.0,60.0,0.0,60,54,57.0,3.0,9.0,100,100,20,0,2482218.3714972604,10239805.936813354,112.5335693359375,4184380.8667643596,22339965.34347534,10240116.357803345,14236.4501953125,5584991.335868835,4697850.876031837,22339573.860168457,10240228.89137268,13077.259063720703,5584893.465042114,4698106.263176569,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,64024,64239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,60.0,0,5,5,270,300
172.20.48.101,142.251.222.195,41980,80,00:0c:29:e7:5c:b2,00:50:56:fd:a8:68,6,2026-01-28 18:57:49,1975055.456161499,173.1596947989874,3.0378893824383755,1.5189446912191877,1.5189446912191877,3,3,162,180,54.0,54.0,54.0,0.0,60.0,60.0,60.0,0.0,60,54,57.0,3.0,9.0,60,60,20,0,395011.0912322998,1970679.2831420898,47.44529724121094,787834.6627419145,1975055.456161499,1971151.351928711,3904.104232788086,987527.7280807495,983623.6238479614,1974535.9420776367,1971715.6887054443,2820.253372192383,987267.9710388184,984447.717666626,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,63330,64239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,60.0,0,3,3,162,180
172.20.48.101,172.66.2.5,52290,80,00:0c:29:e7:5c:b2,00:50:56:fd:a8:68,6,2026-01-28 18:57:49,22728745.460510254,25.07837491472368,0.43997148973199435,0.21998574486599717,0.21998574486599717,5,5,270,300,54.0,54.0,54.0,0.0,60.0,60.0,60.0,0.0,60,54,57.0,3.0,9.0,100,100,20,0,2525416.162278917,10239532.709121704,59.84306335449219,4180975.9683320755,22728745.460510254,10239986.181259155,4664.421081542969,5682186.3651275635,4626057.909462342,22728236.198425293,10240282.05871582,3670.4540252685547,5682059.049606323,4626220.835861512,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,63425,64239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,60.0,0,5,5,270,300
172.20.48.101,34.36.137.203,41280,443,00:0c:29:e7:5c:b2,00:50:56:fd:a8:68,6,2026-01-28 18:57:50,17631.76918029785,17014.741795464688,226.86322393952915,113.43161196976457,113.43161196976457,2,2,147,153,93.0,54.0,73.5,19.5,93.0,60.0,76.5,16.5,93,54,75.0,18.12456896039186,328.5,40,40,20,1,5877.256393432617,16777.515411376953,43.8690185546875,7713.996870861273,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,75.0,65535,64240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.5,76.5,0,2,2,147,153
172.20.48.101,151.101.157.91,34036,443,00:0c:29:e7:5c:b2,00:50:56:fd:a8:68,6,2026-01-28 18:57:50,16630.887985229492,18038.72410579887,240.51632141065156,120.25816070532578,120.25816070532578,2,2,147,153,93.0,54.0,73.5,19.5,93.0,60.0,76.5,16.5,93,54,75.0,18.12456896039186,328.5,40,40,20,1,5543.629328409831,15792.8466796875,192.88063049316406,7249.642820855579,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,75.0,65535,64240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.5,76.5,0,2,2,147,153
172.20.48.101,34.107.243.93,42556,443,00:0c:29:e7:5c:b2,00:50:56:fd:a8:68,6,2026-01-28 18:57:54,7774.591445922852,38587.23665245791,514.4964886994388,257.2482443497194,257.2482443497194,2,2,147,153,93.0,54.0,73.5,19.5,93.0,60.0,76.5,16.5,93,54,75.0,18.12456896039186,328.5,40,40,20,1,2591.5304819742837,6741.046905517578,169.51560974121094,2947.8186398506577,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,75.0,65535,64240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.5,76.5,0,2,2,147,153
